[7/21/2017, 1:10:46 PM] [::ffff:210.13.80.220] [GET] [http://www.cy.wtianyu.com:3060/] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[7/21/2017, 1:10:56 PM] [::ffff:210.13.80.220] [POST] [http://www.cy.wtianyu.com:3060/doLogin] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[7/21/2017, 1:10:58 PM] [::ffff:210.13.80.220] [GET] [http://www.cy.wtianyu.com:3060/index] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[7/21/2017, 1:10:58 PM] [::ffff:210.13.80.220] [GET] [http://www.cy.wtianyu.com:3060/getTuiCool] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[7/21/2017, 1:11:00 PM] [::ffff:210.13.80.220] [GET] [http://www.cy.wtianyu.com:3060/index] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[7/21/2017, 1:11:01 PM] [::ffff:210.13.80.220] [GET] [http://www.cy.wtianyu.com:3060/showNode?id=150053341596720027] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[7/21/2017, 1:11:06 PM] [::ffff:210.13.80.220] [GET] [http://www.cy.wtianyu.com:3060/nextNode?number=38] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[7/21/2017, 1:11:25 PM] [::ffff:210.13.80.220] [GET] [http://www.cy.wtianyu.com:3060/nextNode?number=37] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[7/21/2017, 1:11:33 PM] [::ffff:210.13.80.220] [GET] [http://www.cy.wtianyu.com:3060/nextNode?number=37] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[7/21/2017, 1:11:36 PM] [::ffff:210.13.80.220] [GET] [http://www.cy.wtianyu.com:3060/nextNode?number=34] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
[7/21/2017, 1:11:45 PM] [::ffff:210.13.80.220] [GET] [http://www.cy.wtianyu.com:3060/nextNode?number=37] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.7 Safari/537.36]
