[8/31/2017, 9:06:30 AM] [::ffff:210.13.80.220] [GET] [http://www.cy.wtianyu.com:3060/] [Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.221 Safari/537.36 SE 2.X MetaSr 1.0][8/31/2017, 9:06:30 AM] [::ffff:210.13.80.220] [GET] [http://www.cy.wtianyu.com:3060/] [Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.221 Safari/537.36 SE 2.X MetaSr 1.0][8/31/2017, 9:06:30 AM] [::ffff:210.13.80.220] [GET] [http://www.cy.wtianyu.com:3060/] [Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.221 Safari/537.36 SE 2.X MetaSr 1.0][8/31/2017, 9:06:30 AM] [::ffff:112.65.193.14] [GET] [http://www.cy.wtianyu.com:3060/] [Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) 			Chrome/55.0.2883.95 Safari/537.36][8/31/2017, 9:06:30 AM] [::ffff:140.207.185.109] [GET] [http://www.cy.wtianyu.com:3060/] [Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) 			Chrome/55.0.2883.95 Safari/537.36][8/31/2017, 9:06:30 AM] [::ffff:210.13.80.220] [GET] [http://www.cy.wtianyu.com:3060/] [Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.221 Safari/537.36 SE 2.X MetaSr 1.0]





[8/31/2017, 11:00:26 AM] [::ffff:71.91.187.90] [GET] [http://www.cy.wtianyu.com:3060/] [Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36]
[8/31/2017, 5:52:45 PM] [::ffff:210.13.80.220] [GET] [http://www.cy.wtianyu.com:3060/] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36]
[8/31/2017, 5:52:52 PM] [::ffff:210.13.80.220] [GET] [http://www.cy.wtianyu.com:3060/] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36]
[8/31/2017, 5:53:22 PM] [::ffff:210.13.80.220] [POST] [http://www.cy.wtianyu.com:3060/doLogin] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36]
[8/31/2017, 5:53:25 PM] [::ffff:210.13.80.220] [GET] [http://www.cy.wtianyu.com:3060/index] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36]
[8/31/2017, 5:53:36 PM] [::ffff:210.13.80.220] [GET] [http://www.cy.wtianyu.com:3060/getTuiCool] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36]
[8/31/2017, 5:53:50 PM] [::ffff:210.13.80.220] [GET] [http://www.cy.wtianyu.com:3060/index/] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36]
[8/31/2017, 5:54:37 PM] [::ffff:210.13.80.220] [GET] [http://www.cy.wtianyu.com:3060/showNode?id=150365090110820067] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36]
[8/31/2017, 5:54:57 PM] [::ffff:210.13.80.220] [GET] [http://www.cy.wtianyu.com:3060/showNode?id=150207175098520068] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36]
[8/31/2017, 6:02:23 PM] [::ffff:210.13.80.220] [GET] [http://www.cy.wtianyu.com:3060/index/] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36]
[8/31/2017, 6:02:25 PM] [::ffff:210.13.80.220] [GET] [http://www.cy.wtianyu.com:3060/showNode?id=150365090110820067] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36]
