[游客] [5/8/2018, 6:30:01 AM] [::ffff:106.15.186.63] [:] [GET] [http://www.al.wtianyu.com:3060/] [Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:36.0) Gecko/20100101 Firefox/36.0]
[游客] [5/8/2018, 11:02:25 PM] [::ffff:101.81.219.196] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36]
[游客] [5/8/2018, 11:02:25 PM] [::ffff:101.81.219.196] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/gt/register-slide?t=1525791745390] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36]
[临时用户] [5/8/2018, 11:02:40 PM] [::ffff:101.81.219.196] [上海市:上海市] [POST] [http://www.al.wtianyu.com:3060/doLogin] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36]
[临时用户] [5/8/2018, 11:02:41 PM] [::ffff:101.81.219.196] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/index] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36]
[临时用户] [5/8/2018, 11:02:43 PM] [::ffff:101.81.219.196] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/getTuiCool] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36]
[临时用户] [5/8/2018, 11:02:52 PM] [::ffff:101.81.219.196] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/index] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36]
[临时用户] [5/8/2018, 11:03:05 PM] [::ffff:101.81.219.196] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/showNode?id=152116884785520047] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36]
[临时用户] [5/8/2018, 11:03:05 PM] [::ffff:101.81.219.196] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/search] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36]
[临时用户] [5/8/2018, 11:03:19 PM] [::ffff:101.81.219.196] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/catagoryManage] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36]
[临时用户] [5/8/2018, 11:03:19 PM] [::ffff:101.81.219.196] [上海市:上海市] [POST] [http://www.al.wtianyu.com:3060/getCatagoryNodes] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36]
[临时用户] [5/8/2018, 11:03:26 PM] [::ffff:101.81.219.196] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/add] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36]
[临时用户] [5/8/2018, 11:03:31 PM] [::ffff:101.81.219.196] [上海市:上海市] [POST] [http://www.al.wtianyu.com:3060/getCatagoryNodes] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36]
[临时用户] [5/8/2018, 11:04:22 PM] [::ffff:101.81.219.196] [上海市:上海市] [POST] [http://www.al.wtianyu.com:3060/doAdd] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36]
[临时用户] [5/8/2018, 11:04:24 PM] [::ffff:101.81.219.196] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/index] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36]
[临时用户] [5/8/2018, 11:04:24 PM] [::ffff:101.81.219.196] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/showNode?id=152579186262720024] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36]
[临时用户] [5/8/2018, 11:04:24 PM] [::ffff:101.81.219.196] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/search] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36]
[临时用户] [5/8/2018, 11:04:31 PM] [::ffff:101.81.219.196] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/getNodeList?title=广告监测违法脚本] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36]
[临时用户] [5/8/2018, 11:04:32 PM] [::ffff:101.81.219.196] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/showNode?id=151799502035020073] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36]
[临时用户] [5/8/2018, 11:06:57 PM] [::ffff:101.81.219.196] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36]
[临时用户] [5/8/2018, 11:06:57 PM] [::ffff:101.81.219.196] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/gt/register-slide?t=1525792016856] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36]
[临时用户] [5/8/2018, 11:07:03 PM] [::ffff:101.81.219.196] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/register] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.139 Safari/537.36]
