[游客] [5/23/2018, 8:40:23 AM] [::ffff:141.8.142.136] [:] [GET] [http://www.al.wtianyu.com:3060/robots.txt] [Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)]
[游客] [5/23/2018, 8:40:26 AM] [::ffff:141.8.142.136] [:] [GET] [http://www.al.wtianyu.com:3060/] [Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)]
[游客] [5/23/2018, 9:41:21 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36]
[游客] [5/23/2018, 9:41:22 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/gt/register-fullpage?t=1527039681640] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36]
[wangyu] [5/23/2018, 9:41:34 AM] [::ffff:210.13.80.220] [上海市:上海市] [POST] [http://www.al.wtianyu.com:3060/doLogin] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36]
[wangyu] [5/23/2018, 9:41:34 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/index] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36]
[wangyu] [5/23/2018, 9:41:35 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/getTuiCool] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36]
[wangyu] [5/23/2018, 9:41:37 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/index] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36]
[wangyu] [5/23/2018, 9:41:39 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/search] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36]
[wangyu] [5/23/2018, 9:41:39 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/showNode?id=152695847775420034] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36]
[wangyu] [5/23/2018, 9:41:45 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/getNodeList?title=jquery选择器] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36]
[wangyu] [5/23/2018, 9:46:42 AM] [::ffff:210.13.80.220] [上海市:上海市] [GET] [http://www.al.wtianyu.com:3060/add] [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36]
